Infraestructura Educativa,,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Escuela,Ubicación,Director,Alumnos,Nivel,Descripción Nivel,Clase,Descripción Clase
84,Colinas de los Belenes,1B,"PRIMARIA ""COLEGIO TERCER MILENIO"" T/M","PROLONGACION BELENES 1260, TEL. 36607427

",,,3,Primaria,2,Privado
84,Colinas de los Belenes,1B,"SECUNDARIA ""COLEGIO TERCER MILENIO"" T/M","PROLONGACION BELENES 1260, TEL. 36607427

",,,4,Secundaria,2,Privado
85,Colinas de los Robles,3,"Jardín de Niños ""Gabriela Mistral""",Av. de los Pinos y Cedros,,,2,Preescolar,1,Público
85,Colinas de los Robles,3,"PRIMARIA ""RAMON LOPEZ VELARDE"" ","CALLE 8 475, TEL. 33640402

",,,3,Primaria,1,Público
86,Colinas de San Javier,5B,-Inexistente-,,,,99,NINGUNO,99,NINGUNO
87,Colinas de Tabachines,1B,"PREESCOLAR ""APRENDER JUGANDO"" T/M",PASEO DE LAS CAOBAS 19,,,2,Preescolar,2,Privado
87,Colinas de Tabachines,1B,Inexistente,,,,99,NINGUNO,99,NINGUNO
89,Colinas del Rey,3,Colegio Naciones Unidas ( Reg. SEP Kinder Miguel Hidalgo y Costilla),Av. Torremolinos  No. 3326 Tel. 38.34.20.42,Dir. Jannet Arevalo Olvera / Juan Manuel Gutiérrez Gutiérrez,,2,Preescolar,2,Privado
90,Colinas del Río Blanco,3,Inexistente,,,,99,NINGUNO,99,NINGUNO
91,Colli CTM,6,Preescolar Adolfo López Mateos T/V,"Felipe Carrillo Puerto, Tel. 36293149",Dir. Irma Rebeca Guerrero Naranjo,,2,Preescolar,1,Público
91,Colli CTM,6,Preescolar Adolfo López Mateos T/M,"Felipe Carrillo Puerto, Tel. 36293149",Dir. Ana Cristina Pérez Guardado,,2,Preescolar,1,Público
91,Colli CTM,6,"Primaria Estatal ""Cuauthemoc"" T/N",Felipe Carrillo Puerto No. 5304 entre Manuel J. Clouthier y CTM,,,3,Primaria,1,Público
91,Colli CTM,6,"Primaria  ""Colegio Altamira A.C.""  T/M",Av. Moctezuma No. 2390 Tel.36.20.37.58,Dir. Prof. Gilberto Jiménez Palacio,,3,Primaria,2,Privado
91,Colli CTM,6,"Primaria Estatal ""Cuauhtémoc"" T/M","Felipe Carrillo Puerto Nº 5304, entre Manuel J. Cloutier y CTM Tel. 36286920",Dir. Luis Jorge González Avalos,,3,Primaria,1,Público
91,Colli CTM,6,"Primaria Estatal ""Leopoldo Kiel"" T/V","Felipe Carrillo Puerto Nº 5304, Tel. 36206399, 36327905 y 31533052",Dir. Francisca Guzmán Huerta,,3,Primaria,1,Público
91,Colli CTM,6,"Secundaria ""Colegio Altamira A.C.""  T/M",Av. Moctezuma No. 2390 Tel. 36.20.37.58,Dir. Ángel Camarena Robles,,4,Secundaria,2,Privado
91,Colli CTM,6,"Preparatoria ""Colegio Altamira A.C."" T/M",Av. Moctezuma No. 2390 Tel. 36203758,Dir. Prof. Alejandro Luthe Rios. Rector Lic. Juan Flores Miramontes,,5,Educación Media,2,Privado
91,Colli CTM,6,Instituto Estatal para la Educacion de los Adultos,Centro Social de la Colonia,,,7,Centro de Educación Especial,1,Público
93,Colli Primavera,7,"PREESCOLAR ""CENTRO DE DESARROLLO INFANTIL CRI CRI"" ","PLAYA DE HORNOS 1149
",,,2,Preescolar,1,Público
93,Colli Primavera,7,Preescolar Maximiliano María Kolbe,"Playa de Oro, esq. Playa Malibú",,,2,Preescolar,2,Privado
93,Colli Primavera,7,Primaria Maximiliano María Kolbe,"Playa de oro, esq. Playa Malibú, Tel. 13680391 y 13680932",,,3,Primaria,2,Privado
95,Colli Poblado (ó Colli Ejidal),6,Primaria Federal “Josefa Ortíz de Domínguez” T/V,"Allende Nº 11, Tel. 31250079",Dir. Juan Ríos Fierros,393,3,Primaria,1,Público
95,Colli Poblado (ó Colli Ejidal),6,Primaria Federal “Emiliano Zapata” T/M,"Allende Nº 11, Tel. 31250079",Dir. Verónica Hurtado Cárdenas,443,3,Primaria,1,Público
95,Colli Poblado (ó Colli Ejidal),6,Primaria Federal “Justo Sierra” T/N,"Ramón Corona Nº 17, Tel. 10281404",Dir. Ismael Casillas Rodríguez,,3,Primaria,1,Público
95,Colli Poblado (ó Colli Ejidal),6,Primaria Federal “Gabriela Mistral” T/V,"Ramón Corona Nº 17, Tel. 10281404",Dir. Martha Irene Gómez Miramontes,186,3,Primaria,1,Público
95,Colli Poblado (ó Colli Ejidal),6,Primaria Federal “Agustín Yañez” T/M,"Ramón Corona Nº 17, Tel. 10281404",Dir. María del Refugio,,3,Primaria,1,Público
96,Colli Sitio,5A,"Preescolar ""Bertha Von Glummer""","4 de Febrero Nº 2201 con av. tepeyac, Tel. 36289553",Dir. Marissa Delgadillo Sanabria,,2,Preescolar,1,Público
96,Colli Sitio,5A,Primaria Federal “Vicente Guerrero” T/V,"La  romana con 4 de febrero, Tel. 36289904, Clave 14DPK3145P",Dir. Ma. de la Luz Núñez Cham,,3,Primaria,1,Público
96,Colli Sitio,5A,Primaria Federal “Juan Escutia” T/M,"La romana con 4 de febrero, Tel. 36289904, Clave 14DPR0371R",Dir. Piedad Camacho Sandoval,,3,Primaria,1,Público
97,Colli Urbano ,6,"DIF, CDI Nº 5","Volcán del Fuego Nº 2545, Tel. 36283856","Dir. Mariana Calderón Rico, Programa Estatal.",,1,Inicial / Guarderia,1,Público
97,Colli Urbano ,6,"IMSS ""Cuidado Infantil de Jalisco, S. C.""","Volcán Jorullo Nº 2350, (entre Volcán de Fuego y Volcán Citlaltepetl), Tel. 36209963.
Horario de 7:00 A 17:00 hrs",Dir. Mónica de la Mora Padilla ,,1,Inicial / Guarderia,1,Público
97,Colli Urbano ,6,"Guardería Particular ""Rousseau""","Volcán Popocatepetl Nº 2031, Tel 31253544",Dir. Ana Verónica Bue Sánchez.,,1,Inicial / Guarderia,2,Privado
97,Colli Urbano ,6,Preescolar El Colli No. 552 T/M,"Volcán Paricutín Nº 5176, Tel. 36203900",Dir.Encarg. Rossa Guadalupe Placencia Urzua,,2,Preescolar,1,Público
97,Colli Urbano ,6,"PREESCOLAR ""COLEGIO KUKULCAN"" T/M","VOLCAN AJUSCO 119
",,,2,Preescolar,2,Privado
97,Colli Urbano ,6,"PREESCOLAR ""HARVARD SCHOOL"" T/M","VOLCAN COFRE DE PEROTE 1985
",,,2,Preescolar,2,Privado
97,Colli Urbano ,6,"Preescolar ""Xochitlcalli""","Volcán Fujiyama Nº 15, Tel. 36205911",Dir. Margarita Hernández Ramos,,2,Preescolar,,Desconocido
97,Colli Urbano ,6,"PREESCOLAR ""ERIKSON"" T/M","VOLCAN PARICUTIN 6190
",,,2,Preescolar,2,Privado
97,Colli Urbano ,6,"PREESCOLAR ""NICOLAS COPERNICO"" ","VOLCAN PARICUTIN 5176
",,,2,Preescolar,1,Público
97,Colli Urbano ,6,"Preescolar ""Ker Liber Crecer Libre""","Volcán Popocatepetl Nº 4774, Tel. 36.28.48.81",Dir. Rosa María Martínez Rodríguez,,2,Preescolar,2,Privado
97,Colli Urbano ,6,"Preescolar Centro Escolar ""Rousseau""","Volcán Popocatepetl Nº 2031, Tel. 31253544",Dir. Nancy Edith García Morales,,2,Preescolar,2,Privado
97,Colli Urbano ,6,Preescolar Nicolás Copernico T/V,"Volcán Paricutin Nº 5176, Tel. 36203900",Dir. Encarg. Laura Margarita Pérez Santana,,2,Preescolar,1,Público
97,Colli Urbano ,6,"PREESCOLAR ""CENTRO EDUCATIVO BUCKINGHAM"" T/M","VOLCAN DE FUEGO 2680
",,,2,Preescolar,2,Privado
97,Colli Urbano ,6,"Preescolar ""El Principito""","Volcán Cerro del Perote, esq. Patria",,,2,Preescolar,2,Privado
97,Colli Urbano ,6,"Kinder ""Colegio La Calma, A.C.""","Volcán Popocatépetl No. 3326, Tel. 36289864, 36322765",,,2,Preescolar,2,Privado
97,Colli Urbano ,6,"Preescolar Centro Educativo ""José Clemente Orozco""","Volcán Jorullo Nº. 1928, Tel. 36200129",Dir. María de los Angeles Fernández Aceves,,2,Preescolar,2,Privado
97,Colli Urbano ,6,Primaria Particular “Centro Educativo José Clemente Orozco” T/M,"Volcán Jorullo Nº 1928, Tel. 36200129 y 36205116",Dir. María Dolores Garcés Zamora,,3,Primaria,2,Privado
97,Colli Urbano ,6,"Primaria ""Josefa Ortíz de Domínguez""","Volcán Jorullo, esq. Volcán Fujiyama",,,3,Primaria,1,Público
97,Colli Urbano ,6,"Primaria Federal ""Benito Juárez"" T/V",Volcán Citlaltepetl esq. Volcán Popocatepetl No. 125 IngresoTel. 31252460,Dir. J. Salvador Orozco Zarate,,3,Primaria,1,Público
97,Colli Urbano ,6,"Primaria Federal ""Salvador Varela Resendiz"" T/M","Volcán Citlaltepec, Tel.  36289369 Ingreso por Volcaán Popocatepetl No. 125",Dir. J. Salvador Orozco Zarate,,3,Primaria,1,Público
97,Colli Urbano ,6,"PRIMARIA ""HARVARD SCHOOL"" T/M","VOLCAN COFRE DE PEROTE 1985, TEL. 36205502

",,,3,Primaria,2,Privado
97,Colli Urbano ,6,Primaria Particular “Centro Integral Educativo Aprender” T/M,"Volcán Popocatepetl, Nº 118",Dir. Marco Antonio Vargas Salinas,,3,Primaria,2,Privado
97,Colli Urbano ,6,Primaria Particular “Creare Instituto Educativo” T/M,"Volcán Paricutin Nº 6190, Tel. 36206065",Dir. Ma. Guadalupe Valdés Dávila,,3,Primaria,2,Privado
97,Colli Urbano ,6,"Primaria Particular ""Ker Liber Crecer Libre"" T/M","Volcán Popocatepetl Nº 4774, Tel. 36289864",Dir. Enriqueta Ponce Rodríguez,,3,Primaria,2,Privado
97,Colli Urbano ,6,"Primaria Particular ""La Calma"" T/M","Volcán Popocatepetl Nº 3326, Tel. 36289864 y 36322765",Dir. Carmen Rocio Nerí,,3,Primaria,2,Privado
97,Colli Urbano ,6,"PRIMARIA ""HARVARD SCHOOL"" T/M","VOLCAN COFRE DE PEROTE 1985, TEL. 36205502

",,,3,Primaria,2,Privado
97,Colli Urbano ,6,"PRIMARIA ""CENTRO EDUCATIVO BUCKINGHAM"" T/M","VOLCAN DE FUEGO 2680, TEL. 36206688

",,,3,Primaria,2,Privado
97,Colli Urbano ,6,Primaria Particular “Centro de Desarrollo Integral Arboledas” T/M,"Volcán Jorullo Nº 4654, Tel. 363562010 y 31123329",Dir. Lic. Cisneros,,3,Primaria,2,Privado
97,Colli Urbano ,6,Secundaria Técnica Federal Nº 50,"Volcán Fujimaya Nº 17, Tel. 36289485",Dir. Antonio Iñiguez García,,4,Secundaria,1,Público
97,Colli Urbano ,6,"SECUNDARIA ""COLEGIO KUKULCAN"" T/M","VOLCAN AJUSCO 119, TEL. 31226173

",,,4,Secundaria,2,Privado
97,Colli Urbano ,6,"Secundaria Trilingüe ""Albert Schweitzer"" A.C.","Volcán Fujiyama No.5,  31212129",,,4,Secundaria,2,Privado
97,Colli Urbano ,6,Secundaría Particular “Centro de Desarrollo Integral Arboledas”,"Volcán Jorullo Nº 4654, Tel. 36203310",Dir. Ing.  Adriana Aceves Hernández,,4,Secundaria,2,Privado
97,Colli Urbano ,6,Secundaria “Ker liber Crecer Libre” T/M,"Volcán Popocatepetl Nº 4774, Tel. 36284881 y 36286801
",Dir. Lic. Jaime Enrique Bolaños a la Torre,,4,Secundaria,2,Privado
97,Colli Urbano ,6,Secundaría Particular “Creare Instituto Educativo”,"Volcán Paricutin Nº 6190, Tel. 36206065",Dir. Ma Guadalupe Valdez Dávila,,4,Secundaria,2,Privado
97,Colli Urbano ,6,"Preparatoria ""Centro de Desarrollo Integral Arboledas"" T/M","Volcán Jorullo Nº 4654, Tel. 36203310",Dir. Mauricio Cervallo Pontón,,5,Educación Media,2,Privado
97,Colli Urbano ,6,"Preparatoria ""Centro de Desarrollo Integral Arboledas"" T/M",Volcan Jorullo No. 4654  Tel. 36.20.33.10,Dir. Ing. Mauricio Carvallo Pontón,,5,Educación Media,2,Privado
97,Colli Urbano ,6,"Academia de Gimnasia Artística ""Star Gym""",Volcán Ajusco No. 108 A-B,,,8,Otros,2,Privado
97,Colli Urbano ,6,"Gimnasia Olímpica ""Aupe Gym""","Volcán Cofre de Perote No. 5081, Tel. 36286566",,,8,Otros,2,Privado
97,Colli Urbano ,6,Escuela de Natación y Academia A.C.,"Felipe Ruvalcaba No. 5184, Tel. 36290307",,,8,Otros,2,Privado
101,Conjunto Habitacional U.A.G.,1A,"Primaria ""Antonio Caso U.A.G."" T/ M","Santa Laura No. 5050,  Tel 36565633",Dir. Beatriz González Ceballos,,3,Primaria,2,Privado
101,Conjunto Habitacional U.A.G.,1A,"Secundaria ""Antonio Caso  U.A.G."" T/V",Santa Laura # 91 Tel. 36.33.08.65,Dir. Cipriano Jara,,4,Secundaria,2,Privado
101,Conjunto Habitacional U.A.G.,1A,"Preparatoria Anonotio Caso U.A.G."" T/V",Santa Laura # 91 Tel. 36.33.08.65,Dir. Cipriano Jara ,,5,Educación Media,2,Privado
103,Conjunto Laureles,1B,"Preescolar Niños ""Héroes de Chapultepec""","Boulevard de la Espuela Nº 307, Tel. 36368191",Dir. Fabiola M. Flores Rodríguez,129,2,Preescolar,1,Público
104,Conjunto Patria Residencial,1B,"Preescolar ""Instituto Boston (Escuela de inglés)""",Bandera Nacional y Unidad Nacional,,,2,Preescolar,,Desconocido
105,Conjunto Ritz,1B,Inexistente,,,,99,NINGUNO,99,NINGUNO
106,Conjunto San Gilberto,1B,Inexistente,,,,99,NINGUNO,99,NINGUNO
107,Conjunto Zapopan,1B,Inexistente,,,,99,NINGUNO,99,NINGUNO
108,Constitución,1B,"Preescolar ""José López Portillo""",Melitón Albañez Nº 515,Dir. María Elizabeth González Flores,,2,Preescolar,1,Público
108,Constitución,1B,"Preescolar ""Telpochcalli""","Ing. Pesquerios No. 331, Tel. 36604942.",Dir. Primavera Zepeda Mendoza,,2,Preescolar,2,Privado
108,Constitución,1B,"Preescolar ""José García Valseca"" T/M","Melitón Albañez Nº 525, Tel. 36602143",Dir. Luz Elena Fong Rico,,2,Preescolar,1,Público
108,Constitución,1B,"PREESCOLAR ""MARIA GORETTI"" T/M",MANUEL AMAYA 248,,,2,Preescolar,2,Privado
108,Constitución,1B,"PREESCOLAR ""GABRIELA MISTRAL"" T/M",GENERAL IGNACIO PESQUEIRA 426,,,2,Preescolar,2,Privado
108,Constitución,1B,"PREESCOALR ""GABRIELA MISTRAL"" T/M",PRIVADA ESTEBAN BACA CALDERON 447,,,2,Preescolar,2,Privado
108,Constitución,1B,"Preescolar ""Juan Jacobo Rousseau""","Luis Manuel Rojas Nº 1050, Tel. 36605627",Dir. Luz Mignelia Gómez López,,2,Preescolar,1,Público
108,Constitución,1B,"Preescolar ""José García Valseca"" T/V","Melitón Albañez Nº 525, Tel. 38611312",Dir. Adriana J. Basalto Barocio,,2,Preescolar,1,Público
108,Constitución,1B,Primaria “Aurelia Ladrón de Guevara” T/M,"Luis Manuel Rojas Nº 1100, Tel. 38617478 ",Dir. Francisco de Jesús González Sánchez,644,3,Primaria,1,Público
108,Constitución,1B,Primaria Federal “Francisco I. Madero” T/V,"Jorge Villaseñor Nº 469, Tel. 36336657",Dir. Enoch Grajales Corzo,,3,Primaria,1,Público
108,Constitución,1B,Primaria “Valentín Gómez Farias” T/Mix (Tiene Internado),"Obreros de Cananea Nº 1027, Tel. 36600003",Dir. Ma. Guadalupe Ramírez Romero,,3,Primaria,1,Público
108,Constitución,1B,Primaria Federal “José López Portillo y Weber” T/M,"Jorge Villaseñor Nº 469, Tel. 36336657",Dir. Imelda Navarro Santos,,3,Primaria,1,Público
108,Constitución,1B,Primaria Federal “Francisco Medina de la Torre” T/V,"Obreros de Cananea Nº 1001, Tel. 36602383",Dir. Antonio Asencio Jiménez,415,3,Primaria,1,Público
108,Constitución,1B,Primaria Federal “Ma. Teresa Calderón V.” T/M,"Obreros de Cananea Nº 1001, Tel. 36602323",Dir. Irma Geovanina Zúñiga Jiménez,,3,Primaria,1,Público
108,Constitución,1B,Primaria “Cuauhtémoc” T/V,"Luís Manuel Rojas Nº 1100, Tel. 36617491 y 36724782",Dir. Anselmo Raúl Hernández Rodríguez,243,3,Primaria,1,Público
109,Constituyentes,1B,CDI No. 12,Prolongación Federalismo y Tratado de Tlatelolco,,,1,Inicial / Guarderia,1,Público
109,Constituyentes,1B,Jardín de Niños No. 370 T/V,Calle Manuel González,,,2,Preescolar,1,Público
109,Constituyentes,1B,Jardín de Niños No. 195 T/M,Calle Manuel González,,,2,Preescolar,1,Público
109,Constituyentes,1B,"PREESCOLAR ""LAURA ROSALES ARREOLA"" T/M y T/V",ENRIQUE RECIO 800,,,2,Preescolar,1,Público
109,Constituyentes,1B,"Primaria ""Juan Escutia""",Periférico y Juan del Carmen,,,3,Primaria,,Desconocido
109,Constituyentes,1B,"Primaria Urbana No. 254 ""Francisco Villa"" T/V","Prol. Federalismo y Plan de Agua Prieta, 
",,,3,Primaria,1,Público
109,Constituyentes,1B,"Primaria ""Átala Apodaca"" T/V",Ing. Pastor Rouiax S/N,Dir. Delia Ramona Soltero Zaragoza,,3,Primaria,1,Público
109,Constituyentes,1B,"Primaria ""Átala  Apodaca"" T/M","Ing. Pastor Rouix S/ N, TEL. 36367589
",Dir. María Guadalupe de Santiago Villegas,,3,Primaria,1,Público
109,Constituyentes,1B,"Primaria ""Átala Apodaca"" T/N",Ing. Pastor Rouaix S/N,Dir. Pedro Rodríguez Mosqueda,,3,Primaria,1,Público
109,Constituyentes,1B,"Secundaria  ESG No. 17 ""José Antonio Torres""",Juan del Carmen y Urano,,,4,Secundaria,,Desconocido
109,Constituyentes,1B,Secundaria No. 85,Periférico y Juan del Carmen,,,4,Secundaria,,Desconocido
109,Constituyentes,1B,Preparatoria No. 8  Universidad de Guadalajara,Periférico Nte.  No. 1900   C.P. 45180 Tel. 36608496 y 36607617,Mtro. Enrique Aceves Parra,,5,Educación Media,1,Público
109,Constituyentes,1B,"Universidad ""UPN""",Luis Manuel Rojas No. 2001 y Santiago González,,,6,Universidad,1,Público
110,Copala,RN,"SECUNDARIA ""GUSTAVO ADOLFO MADERO"" T/M","MIGUEL HIDALGO 13AG
",,,,Desconocido,,Desconocido
110,Copala,RN,"Preescolar ""Cuauhtemoc""",Miguel Hidalgo Nº 13,Dir. María del Carmen Andrade Luna,,2,Preescolar,,Desconocido
110,Copala,RN,Primaria Federal “Miguel Hidalgo y Costilla”  T/M,"Miguel Hidalgo Nº 13, Tel. 38341849 y 33101333780",Dir. Ramón López Jacobo,,3,Primaria,1,Público
111,Copalita Poblado,RS,"Preescolar ""Adolfo López Mateos""",Dom. Conocido,Dir. Marisela Castillo García,,2,Preescolar,,Desconocido
111,Copalita Poblado,RS,Primaria Federal “Mariano Matamoros” T/M,"Guadalupe s/n, Tel. 38341849 y 11334759
",Dir. Rocina Álvarez,,3,Primaria,1,Público
111,Copalita Poblado,RS,Primaria Federal “Vicente Guerrero” T/V,Av. Copalita Nº 100,Dir. María Concepción Leal Preciado,,3,Primaria,1,Público
111,Copalita Poblado,RS,Primaria Federal “Vicente Guerrero” T/M,Av. Copalita Nº 100,Dir. Pedro Contreras Ramírez,,3,Primaria,1,Público
112,"Coronilla, La",2B,"DIF. CAIC No. 5 ""Centro de Atención Infantil Comunitario""","Ramón López Velarde No. 1680, tel. 3625-8734",Encargada Lic. Georgina Torres González,45,1,Inicial / Guarderia,1,Público
112,"Coronilla, La",2B,Preescolar Federal “Ovidio Decroly”,Rubén Darío,Dir. Lilia Granja Montero,,2,Preescolar,1,Público
112,"Coronilla, La",2B,"Primaria ""Centro Educativo La Barranca"" T/M","Edgar Alan Poe Nº 3725, Tel. 36251013 y 36250934
",Dir. María Elena Vázquez Sánchez,327,3,Primaria,2,Privado
112,"Coronilla, La",2B,"Primaria ""Urbana Nº 1139""  T/M","Fe del Rocío No. 1000, Tel. 36258579",María de los Ángeles Batres Medina,,3,Primaria,1,Público
112,"Coronilla, La",2B,Primaria Estatal “Constitución de 1917” T/V,"José Marti, Tel. 36253504 y 38235779",Dir. María Irma Cardona Mejía,381,3,Primaria,1,Público
112,"Coronilla, La",2B,Primaria Estatal “5 de Febrero” T/M,"José Marti, Tel. 36258574",Dir. María Irma Cardona Mejía,,3,Primaria,1,Público
112,"Coronilla, La",2B,"SECUNDARIA ""CENTRO EDUCATIVO LA BARRANCA"" T/M","RAMON LOPEZ VELARDE 1664, TEL. 36250934

",,,4,Secundaria,2,Privado
112,"Coronilla, La",2B,"SECUNDARIA "" GUILLERMO GONZALEZ CAMARENA"" T/M","RAMON LOPEZ VELARDE 1664
",,,4,Secundaria,1,Público
113,Coronilla del Ocote,RS,"Primaria Federal ""Emiliano Zapata"" T/M",Dom. Conocido,Dir. Ma. Socorro Cordero Bardeto,,3,Primaria,1,Público
114,"Cueva, La",RS,Primaria “12 de Octubre” T/M,Domicilio Conocido,,,3,Primaria,,Desconocido
115,División Del Norte,2A,Primaria Estatal “Francisco Villa”  T/V,"Federalismo Nº 1541, Tel. 36609738 y 36412494",Dir. Silvia Quirarte Godoy,684,3,Primaria,1,Público
115,División Del Norte,2A,Primaria Estatal “Francisco Villa”  T/M,"Federalismo Nº 1541, Tel. 36604738, 36331918 y 36720267
",Dir. Irma Yolanda Guillermina Valdez Ramos,,3,Primaria,1,Público
115,División Del Norte,2A,Primaria Estatal “Francisco Villa”  T/N,"Federalismo Nº 1541, Tel. 36841390 y 36369027",Dir. Claudia García Órnelas,,3,Primaria,1,Público
117,Don Bosco Vallarta,5A,UNIVERSIDAD UNIVER PLANTEL VALLARTA,AVENIDA VALLARTA 4449,,,6,Universidad,2,Privado
117,Don Bosco Vallarta,5A,CENTRO DE ESTUDIOS UNIVERSITARIOS VERACRUZ VALLARTA,AVENIDA VALLARTA 4449,,,6,Universidad,2,Privado
117,Don Bosco Vallarta,5A,UNIVERSIDAD UNIVER PLANTEL VALLARTA,AVENIDA VALLARTA 4449,,,8,Otros,2,Privado
117,Don Bosco Vallarta,5A,Inexistente,,,,99,NINGUNO,99,NINGUNO
118,Ecológica Seattle,1B,"Preescolar Centro Infantil ""Rabindranath Tagore"" ",Calle B No. 724-1,,,2,Preescolar,2,Privado
118,Ecológica Seattle,1B,"Primaria ""Instituto del Saber A.C.""  (Teresiano)","Calle B No. 588 y Calle 3, TEL. 36330299
",,,3,Primaria,2,Privado
118,Ecológica Seattle,1B,"Primaria ""Miguel Hidalgo y Costilla""","Calle B 695 y Calle 5, TEL. 38338577
",,,3,Primaria,1,Público
118,Ecológica Seattle,1B,"Primaria ""Colegio Nueva España""","Calle B No. 605 y Calle 3, TEL. 36331092
",,,3,Primaria,2,Privado
118,Ecológica Seattle,1B,Secundaría Particular “Instituto Saber”,"Calle B Nº 588 y Calle 3, Tel. 36330299",Dir. Aída Araceli López Moreno,,4,Secundaria,2,Privado
118,Ecológica Seattle,1B,Secundaría Particular “Nueva España” T/M,"Calle B Nº 605,  y calle 3Tel. .36331092",Dir. Ma. Teodora Robles González,,4,Secundaria,2,Privado
119,Ejido Copalita,RN,Preescolar Federal “Pedro Moreno”,Emiliano Zapata y Flamingos,Dir. Brenda Elizabeth Ocampo Fajardo,,2,Preescolar,1,Público
119,Ejido Copalita,RN,Primaria Federal “Lázaro Cárdenas del Río” T/M,"Lázaro Cárdenas, Tel. 38971679",Dir. Claudia Eloisa Pereyra Vargas,,3,Primaria,1,Público
119,Ejido Copalita,RN,"PRIMARIA ""JOSE PABLO CALVILLO"" T/V","LAZARO CARDENAS
",,,3,Primaria,1,Público
119,Ejido Copalita,RN,Tele Secundaría “Benito Juárez”,"Calle Miguel Hidalgo, Tel. 38972183",Dir. Felipe de Jesús Valadez Contreras,,4,Secundaria,1,Público
120,Ejido Zapopan,?,"Preparatoria ""CECATI  No.56  Centro de Capacitación de Trabajo Industrial""","Av. Atemajac Nº 1270, Tel. 36602402",Lic. Javier Correa Quintero,,5,Educación Media,1,Público
121,Emiliano Zapata,2A,"Primaria ""José Silverio  Núñez""  Urbana 1002 T/V","Herreros No. 205, Tel. 38611163",Dir. Lucia Susarregui,,3,Primaria,1,Público
121,Emiliano Zapata,2A,"Primaria  ""José Vasconcelos"",  Urbana 983 T/M","Herreros No 205, Tel. 38611163 ",Dir. Carmen Rodríguez Jaureguí,,3,Primaria,1,Público
121,Emiliano Zapata,2A,"Academia Municipal ""Emiliano Zapata"" ","Abelardo Rodríguez No. 222, Tel. 36319628
Cursos COMPUTACIÓN, CORTE Y CONFECCIÓN Y CULTURA DE BELLEZA",C. Adonay Vázquez Sojo,,8,Otros,1,Público
121,Emiliano Zapata,2A,"Escuela Cristiana ""Centro de Entrenamiento""","Laurel, entre Priv. Mirasol y Alvaro Obregón",,,8,Otros,2,Privado
122,"Estancia, La",5A,"Preescolar ""Estancia Infantil Quetzal""",Ludwig  Van Beethoven 5105 Tel. 36295387,,,1,Inicial / Guarderia,2,Privado
122,"Estancia, La",5A,"Guarderia IMSS ""Estancia Infantil San Juan Macías, S. C.""","Patria Nº 496 (Robert Shuman y Franz Shuberth), Tel. 33439205",Dir. Erika Alejandra López Álvarez.,,1,Inicial / Guarderia,1,Público
122,"Estancia, La",5A,"Guardería Particular ""Happy Face""","Sebastían Bach Nº 5084, Tel. 36296513",Dir. Ina Cecilia Escutia López de Lara.,,1,Inicial / Guarderia,2,Privado
122,"Estancia, La",5A,"Guaderia IMSS ""Atención Infantil Profesional, S.C.""","Av. Patria Nº 424 (Sebastián Back y Tiziano), Tel. 31652375",Dir. Gloria Robledo Flores.,,1,Inicial / Guarderia,1,Público
122,"Estancia, La",5A,"PREESCOLAR ""COLEGIO CAMELOT"" T/M","PIOTR ILICH TCHAIKOVSKI 435
",,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"PREESCOLAR ""MI REHILETE"" T/M","AVENIDA LUDWIN VAN BEETHOVEN 5151
",,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"PREESCOLAR ""CARLOS A CARRILLO"" T/M","MIGUEL ANGEL 235
",,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"PREESCOLAR ""CENTRO ESCOLAR Y DESARROLLO INTEGRAL DEL NIÑO"" T/M","AVENIDA SAN LUIS GONZAGA 5117
",,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"Preescolar ""Jardin de NIños Gray  Mount""",Goya 254 Tel. 36732117,,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"Preescolar ""Estancia Infantil Quetzal""",Ludwig Van Beethoven 5105 Tel. 36295387,,,2,Preescolar,2,Privado
122,"Estancia, La",5A,Preescolar Paddington School,Johann Sebastian Bach  No.5580 ,,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"Preescolar ""Howard Gardner School""",Ludwig Van Beethoven No. 5294,,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"Preescolar Estatal ""Aurora Sánchez G. de Rovelo"" T/M","Millet Nº 503, Tel. 36290142",Dir. María Cristina Fernández Hermosillo,,2,Preescolar,1,Público
122,"Estancia, La",5A,"Preescolar ""Jardin de Niños Kiwiwi""",Ludwing Van Beethoven 5512 Tel. 36733190,,,2,Preescolar,2,Privado
122,"Estancia, La",5A,"Preescolar Estatal ""Aurora Sánchez G. de Rovelo"" T/V","Millet Nº 503, Tel. 36290142",Dir. Silvia Ferrer Covarrubias,,2,Preescolar,1,Público
122,"Estancia, La",5A,"PRIMARIA ""INSTITUTO CELESTIN FREINET"" T/M","JUAN SEBASTIAN BACH 56694, TEL. 36821821

",,,3,Primaria,2,Privado
122,"Estancia, La",5A,Primaria Estatal “Ignacio Ramos Praslow” T/V,"Millet Nº 500, Tel. 33439953 y 36291700",Dir. Prof. Eladio Mora Parga,,3,Primaria,1,Público
